topic,approved_primary_query,existing_owner,approved_impressions,approved_position,decision,basis,indexable_before,indexable_after
detailing,No exported query,https://digitecme.com/services/paint-protection-dubai,0,,RETAIN INDEXED OWNER; no new URL,Kept the comparison hub and distinct treatment owners; added assessment/quote guidance and contextual conversion placements. Verified project evidence remains an external content requirement.,True,True
rox: Soft close doors,rox01 soft close door,https://digitecme.com/brands/rox-service-dubai/soft-close-door-installation,55.0,7.508,INDEX existing English page; Arabic remains NOINDEX,"Existing ROX01-specific retrofit content distinguishes compatibility, door/latch operation, agreed scope and installation enquiry. Existing brand hub supports this offered service. The generic service owner does not cover the same retrofit. Publish only this English exception; no blanket combination indexing.",False,True
lotus: Transmission and gearbox repair,lotus transmission repair dubai,https://digitecme.com/brands/lotus-service-dubai/transmission-repair,30.0,27.57,REMAIN NOINDEX,"Live directive and current source reviewed. The page is still predominantly a shared brand/service template, without enough distinct vehicle/service evidence to compete with the existing generic owner. Query demand alone is insufficient. Keep the brand hub and generic service owner indexable; no redirect/merge without paired-query/canonical evidence.",False,False
volvo: Battery service,volvo battery dubai,https://digitecme.com/brands/volvo-service-dubai/battery-replacement,44.0,17.822045454545453,REMAIN NOINDEX,"Live directive and current source reviewed. The page is still predominantly a shared brand/service template, without enough distinct vehicle/service evidence to compete with the existing generic owner. Query demand alone is insufficient. Keep the brand hub and generic service owner indexable; no redirect/merge without paired-query/canonical evidence.",False,False
jeep: Suspension repair,jeep suspension repair dubai,https://digitecme.com/brands/jeep-service-dubai/suspension-repair,13.0,14.46,REMAIN NOINDEX,"Live directive and current source reviewed. The page is still predominantly a shared brand/service template, without enough distinct vehicle/service evidence to compete with the existing generic owner. Query demand alone is insufficient. Keep the brand hub and generic service owner indexable; no redirect/merge without paired-query/canonical evidence.",False,False
cadillac: Battery service,cadillac car battery dubai,https://digitecme.com/brands/cadillac-service-dubai/battery-replacement,37.0,27.514864864864865,REMAIN NOINDEX,"Live directive and current source reviewed. The page is still predominantly a shared brand/service template, without enough distinct vehicle/service evidence to compete with the existing generic owner. Query demand alone is insufficient. Keep the brand hub and generic service owner indexable; no redirect/merge without paired-query/canonical evidence.",False,False
cadillac: Transmission and gearbox repair,cadillac transmission repair dubai,https://digitecme.com/brands/cadillac-service-dubai/transmission-repair,26.0,29.77,REMAIN NOINDEX,"Live directive and current source reviewed. The page is still predominantly a shared brand/service template, without enough distinct vehicle/service evidence to compete with the existing generic owner. Query demand alone is insufficient. Keep the brand hub and generic service owner indexable; no redirect/merge without paired-query/canonical evidence.",False,False
hummer: Transmission and gearbox repair,hummer transmission repair dubai,https://digitecme.com/brands/hummer-service-dubai/transmission-repair,20.0,29.2,REMAIN NOINDEX,"Live directive and current source reviewed. The page is still predominantly a shared brand/service template, without enough distinct vehicle/service evidence to compete with the existing generic owner. Query demand alone is insufficient. Keep the brand hub and generic service owner indexable; no redirect/merge without paired-query/canonical evidence.",False,False
chevrolet: Transmission and gearbox repair,chevrolet transmission repair dubai,https://digitecme.com/brands/chevrolet-service-dubai/transmission-repair,16.0,15.19,REMAIN NOINDEX,"Live directive and current source reviewed. The page is still predominantly a shared brand/service template, without enough distinct vehicle/service evidence to compete with the existing generic owner. Query demand alone is insufficient. Keep the brand hub and generic service owner indexable; no redirect/merge without paired-query/canonical evidence.",False,False
gmc: Transmission and gearbox repair,gmc transmission repair dubai,https://digitecme.com/brands/gmc-service-dubai/transmission-repair,16.0,17.69,REMAIN NOINDEX,"Live directive and current source reviewed. The page is still predominantly a shared brand/service template, without enough distinct vehicle/service evidence to compete with the existing generic owner. Query demand alone is insufficient. Keep the brand hub and generic service owner indexable; no redirect/merge without paired-query/canonical evidence.",False,False
volkswagen: Battery service,volkswagen car battery dubai,https://digitecme.com/brands/volkswagen-service-dubai/battery-replacement,59.0,37.10237288135593,REMAIN NOINDEX,"Live directive and current source reviewed. The page is still predominantly a shared brand/service template, without enough distinct vehicle/service evidence to compete with the existing generic owner. Query demand alone is insufficient. Keep the brand hub and generic service owner indexable; no redirect/merge without paired-query/canonical evidence.",False,False
volkswagen: Transmission and gearbox repair,volkswagen transmission repair dubai,https://digitecme.com/brands/volkswagen-service-dubai/transmission-repair,34.0,26.410588235294117,REMAIN NOINDEX,"Live directive and current source reviewed. The page is still predominantly a shared brand/service template, without enough distinct vehicle/service evidence to compete with the existing generic owner. Query demand alone is insufficient. Keep the brand hub and generic service owner indexable; no redirect/merge without paired-query/canonical evidence.",False,False
dodge: Transmission and gearbox repair,dodge transmission repair dubai,https://digitecme.com/brands/dodge-service-dubai/transmission-repair,11.0,18.82,REMAIN NOINDEX,"Live directive and current source reviewed. The page is still predominantly a shared brand/service template, without enough distinct vehicle/service evidence to compete with the existing generic owner. Query demand alone is insufficient. Keep the brand hub and generic service owner indexable; no redirect/merge without paired-query/canonical evidence.",False,False
jeep: Battery service,jeep car battery uae,https://digitecme.com/brands/jeep-service-dubai/battery-replacement,27.0,41.51740740740741,REMAIN NOINDEX,"Live directive and current source reviewed. The page is still predominantly a shared brand/service template, without enough distinct vehicle/service evidence to compete with the existing generic owner. Query demand alone is insufficient. Keep the brand hub and generic service owner indexable; no redirect/merge without paired-query/canonical evidence.",False,False
tesla: Battery service,tesla battery,https://digitecme.com/brands/tesla-service-dubai/battery-replacement,17.0,40.11764705882353,REMAIN NOINDEX,"Live directive and current source reviewed. The page is still predominantly a shared brand/service template, without enough distinct vehicle/service evidence to compete with the existing generic owner. Query demand alone is insufficient. Keep the brand hub and generic service owner indexable; no redirect/merge without paired-query/canonical evidence. Battery intent may mean high-voltage traction work; do not promote unsupported HV capability.",False,False
