source_row,query,approved_cluster,approved_priority,approved_classification,approved_intent,approved_relevance,clicks,impressions,ctr,position,approved_band,intended_owner,actual_ranking_url,outcome,implemented_or_retained,page_intent_alignment,title_before,title_after,h1_before,h1_after,opening_after,description_after,snippet_eligibility,commercial_cta,serp_limit,measured_ctr_change
250,merceds repair,mercedes-benz: Service and repair (English),CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,58.0,0.0,8.28,4–10,https://digitecme.com/brands/mercedes-benz-service-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Preserved the newer live hub and its service/model links. Kept broad Mercedes ownership and Book Mercedes Service hero; made final enquiry specific. Existing scoped permanent redirects retained and tested; live activation remains blocked.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes-Benz Repair & Service Dubai,Mercedes-Benz Repair & Service Dubai,"Digi-Tec Performance Centre is an independent Mercedes-Benz workshop in Al Quoz, Dubai. Owners of C-Class, E-Class, S-Class, G-Class, GLE, GLS, AMG and other Mercedes models can request inspection, maintenance and repair; diagnostic functions and the final scope are confirmed for the vehicle before work begins.","Specialist Mercedes repair and service in Dubai for C-Class, E-Class, S-Class, G-Class, GLE, GLS and AMG. XENTRY diagnostics at our Al Quoz workshop in Dubai.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book Mercedes Service ; Contact Us ; Request an Inspection ; WhatsApp,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
251,puncture repair near me,All vehicles: Tyre repair,GROWTH,SUPPORT,Commercial service enquiry,High,0.0,58.0,0.0,9.1,4–10,https://digitecme.com/services/tire-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,"Kept the relevant puncture-assessment title, opening and eligibility limits; added a tyre-assessment CTA in hero/mid/final sections, appointment/stock guidance and steering/suspension links. No mobile-response or universal-repair promise.","Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Tire Repair Dubai | Puncture Assessment & Fitment | Digitec,Tire Repair Dubai | Puncture Assessment & Fitment | Digitec,Tire Repair Dubai,Tire Repair Dubai,"Digitec Performance Center inspects punctures, tire damage, fitment and alignment concerns in Dubai. Repair eligibility depends on the puncture location, tire construction, prior underinflated use and manufacturer guidance; replacement fitment and availability are confirmed before work begins.","Tire repair in Dubai with puncture assessment, replacement, balancing and alignment subject to vehicle fitment and product availability.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request a Tyre Assessment ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
256,gad mercedes,All vehicles: Performance tuning,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,57.0,0.0,7.88,4–10,https://digitecme.com/tuning,Unknown: supplied export does not pair query and page,Retained current page; no justified on-page change,Retained current content and metadata because no justified mismatch was established.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Performance Tuning Dubai | ECU & Hardware Projects | Digi-Tec,Performance Tuning Dubai | ECU & Hardware Projects | Digi-Tec,GAD Motors Performance Tuning,GAD Motors Performance Tuning,"Digi-Tec plans ECU tuning around the exact vehicle, its current condition, fuel, intended use and supporting hardware. The team explains the proposed calibration and expected result before the project begins.","Vehicle-specific ECU tuning and supporting-hardware projects for performance cars at Digi-Tec in Al Quoz, Dubai.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book a Tuning Consultation ; Contact Us ; Request an appointment,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
260,mercedes garage in dubai,mercedes-benz: Service and repair (English),CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,56.0,0.0,8.98,4–10,https://digitecme.com/brands/mercedes-benz-service-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Preserved the newer live hub and its service/model links. Kept broad Mercedes ownership and Book Mercedes Service hero; made final enquiry specific. Existing scoped permanent redirects retained and tested; live activation remains blocked.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes-Benz Repair & Service Dubai,Mercedes-Benz Repair & Service Dubai,"Digi-Tec Performance Centre is an independent Mercedes-Benz workshop in Al Quoz, Dubai. Owners of C-Class, E-Class, S-Class, G-Class, GLE, GLS, AMG and other Mercedes models can request inspection, maintenance and repair; diagnostic functions and the final scope are confirmed for the vehicle before work begins.","Specialist Mercedes repair and service in Dubai for C-Class, E-Class, S-Class, G-Class, GLE, GLS and AMG. XENTRY diagnostics at our Al Quoz workshop in Dubai.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book Mercedes Service ; Contact Us ; Request an Inspection ; WhatsApp,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
270,nissan service center al quoz,nissan: Service and repair,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,54.0,0.0,9.3,4–10,https://digitecme.com/brands/nissan-service-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Retained existing brand hub content and ownership; made final service enquiry label brand-specific. Audi/Bentley also gained paint-care links.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Nissan Repair Dubai | Digi-Tec,Nissan Repair Dubai | Digi-Tec,Nissan Repair & Service Dubai,Nissan Repair & Service Dubai,"Nissan owners can request an inspection, maintenance or repair enquiry at Digi-Tec Performance Centre in Al Quoz, Dubai. Model, diagnostic, parts and service availability are confirmed from the VIN, vehicle condition and requested work before the scope is agreed.","Specialist Nissan repair and service in Dubai: diagnostics, maintenance, brakes, transmission, suspension and AC at Digi-Tec, Al Quoz.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request Nissan Service,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
293,gad performance,All vehicles: Performance tuning,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,51.0,0.0,6.12,4–10,https://digitecme.com/tuning,Unknown: supplied export does not pair query and page,Retained current page; no justified on-page change,Retained current content and metadata because no justified mismatch was established.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Performance Tuning Dubai | ECU & Hardware Projects | Digi-Tec,Performance Tuning Dubai | ECU & Hardware Projects | Digi-Tec,GAD Motors Performance Tuning,GAD Motors Performance Tuning,"Digi-Tec plans ECU tuning around the exact vehicle, its current condition, fuel, intended use and supporting hardware. The team explains the proposed calibration and expected result before the project begins.","Vehicle-specific ECU tuning and supporting-hardware projects for performance cars at Digi-Tec in Al Quoz, Dubai.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book a Tuning Consultation ; Contact Us ; Request an appointment,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
297,power steering specialists,All vehicles: Steering repair,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,50.0,0.0,6.28,4–10,https://digitecme.com/services/steering-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,"Clarified power-steering/rack title; retained useful inspection copy; added hero, quote-scope and final inspection actions plus suspension/Porsche/Mercedes owner links.","Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.","Steering Repair Dubai | Power Steering, Rack & EPS",Power Steering & Rack Repair Dubai | DIGI-TEC,Steering Repair in Dubai,Steering Repair in Dubai,"Digitec Performance Center inspects and repairs supported hydraulic, electric and electro-hydraulic steering concerns in Dubai. Heavy steering, free play, noise, vibration, leaks or warning messages are assessed according to the installed system before work is proposed.","Heavy, noisy or leaking steering? Book rack, pump and EPS inspection and repair in Dubai for selected German and luxury cars.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request a Steering Inspection ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
298,porsche maintenance,porsche: Service and repair (English),CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,50.0,0.0,9.18,4–10,https://digitecme.com/brands/porsche-service-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Retained existing brand hub content and ownership; made final service enquiry label brand-specific. Audi/Bentley also gained paint-care links. Removed stray NUL padding from streamed HTML.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Porsche Service & Repair Dubai | Digi-Tec Workshop,Porsche Service & Repair Dubai | Digi-Tec Workshop,Porsche Repair & Service Dubai,Porsche Repair & Service Dubai,"Owners of Porsche 911, Cayman, Cayenne, Panamera, Macan and other models can request inspection and workshop support at Digi-Tec. PDK, powertrain, brake, suspension and diagnostic scope is confirmed from the VIN, fitted systems and vehicle condition before work begins.","Porsche service and repair in Dubai for 911, Cayenne, Macan, Panamera, Cayman and Taycan, with diagnostics, PDK, brakes and suspension care in Al Quoz.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request Porsche Service ; Request a Porsche Inspection ; Request an Inspection ; WhatsApp,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
306,power steering mechanic,All vehicles: Steering repair,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,49.0,0.0,8.1,4–10,https://digitecme.com/services/steering-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,"Clarified power-steering/rack title; retained useful inspection copy; added hero, quote-scope and final inspection actions plus suspension/Porsche/Mercedes owner links.","Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.","Steering Repair Dubai | Power Steering, Rack & EPS",Power Steering & Rack Repair Dubai | DIGI-TEC,Steering Repair in Dubai,Steering Repair in Dubai,"Digitec Performance Center inspects and repairs supported hydraulic, electric and electro-hydraulic steering concerns in Dubai. Heavy steering, free play, noise, vibration, leaks or warning messages are assessed according to the installed system before work is proposed.","Heavy, noisy or leaking steering? Book rack, pump and EPS inspection and repair in Dubai for selected German and luxury cars.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request a Steering Inspection ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
311,power steering repairs,All vehicles: Steering repair,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,48.0,0.0,8.79,4–10,https://digitecme.com/services/steering-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,"Clarified power-steering/rack title; retained useful inspection copy; added hero, quote-scope and final inspection actions plus suspension/Porsche/Mercedes owner links.","Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.","Steering Repair Dubai | Power Steering, Rack & EPS",Power Steering & Rack Repair Dubai | DIGI-TEC,Steering Repair in Dubai,Steering Repair in Dubai,"Digitec Performance Center inspects and repairs supported hydraulic, electric and electro-hydraulic steering concerns in Dubai. Heavy steering, free play, noise, vibration, leaks or warning messages are assessed according to the installed system before work is proposed.","Heavy, noisy or leaking steering? Book rack, pump and EPS inspection and repair in Dubai for selected German and luxury cars.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request a Steering Inspection ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
312,power steering repair shop,All vehicles: Steering repair,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,47.0,0.0,6.28,4–10,https://digitecme.com/services/steering-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,"Clarified power-steering/rack title; retained useful inspection copy; added hero, quote-scope and final inspection actions plus suspension/Porsche/Mercedes owner links.","Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.","Steering Repair Dubai | Power Steering, Rack & EPS",Power Steering & Rack Repair Dubai | DIGI-TEC,Steering Repair in Dubai,Steering Repair in Dubai,"Digitec Performance Center inspects and repairs supported hydraulic, electric and electro-hydraulic steering concerns in Dubai. Heavy steering, free play, noise, vibration, leaks or warning messages are assessed according to the installed system before work is proposed.","Heavy, noisy or leaking steering? Book rack, pump and EPS inspection and repair in Dubai for selected German and luxury cars.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request a Steering Inspection ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
