source_row,query,approved_cluster,approved_priority,approved_classification,approved_intent,approved_relevance,clicks,impressions,ctr,position,approved_band,intended_owner,actual_ranking_url,outcome,implemented_or_retained,page_intent_alignment,title_before,title_after,h1_before,h1_after,opening_after,description_after,snippet_eligibility,commercial_cta,serp_limit,measured_ctr_change
293,gad performance,All vehicles: Performance tuning,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,51.0,0.0,6.12,4–10,https://digitecme.com/tuning,Unknown: supplied export does not pair query and page,Retained current page; no justified on-page change,Retained current content and metadata because no justified mismatch was established.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Performance Tuning Dubai | ECU & Hardware Projects | Digi-Tec,Performance Tuning Dubai | ECU & Hardware Projects | Digi-Tec,GAD Motors Performance Tuning,GAD Motors Performance Tuning,"Digi-Tec plans ECU tuning around the exact vehicle, its current condition, fuel, intended use and supporting hardware. The team explains the proposed calibration and expected result before the project begins.","Vehicle-specific ECU tuning and supporting-hardware projects for performance cars at Digi-Tec in Al Quoz, Dubai.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book a Tuning Consultation ; Contact Us ; Request an appointment,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
297,power steering specialists,All vehicles: Steering repair,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,50.0,0.0,6.28,4–10,https://digitecme.com/services/steering-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,"Clarified power-steering/rack title; retained useful inspection copy; added hero, quote-scope and final inspection actions plus suspension/Porsche/Mercedes owner links.","Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.","Steering Repair Dubai | Power Steering, Rack & EPS",Power Steering & Rack Repair Dubai | DIGI-TEC,Steering Repair in Dubai,Steering Repair in Dubai,"Digitec Performance Center inspects and repairs supported hydraulic, electric and electro-hydraulic steering concerns in Dubai. Heavy steering, free play, noise, vibration, leaks or warning messages are assessed according to the installed system before work is proposed.","Heavy, noisy or leaking steering? Book rack, pump and EPS inspection and repair in Dubai for selected German and luxury cars.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request a Steering Inspection ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
298,porsche maintenance,porsche: Service and repair (English),CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,50.0,0.0,9.18,4–10,https://digitecme.com/brands/porsche-service-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Retained existing brand hub content and ownership; made final service enquiry label brand-specific. Audi/Bentley also gained paint-care links. Removed stray NUL padding from streamed HTML.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Porsche Service & Repair Dubai | Digi-Tec Workshop,Porsche Service & Repair Dubai | Digi-Tec Workshop,Porsche Repair & Service Dubai,Porsche Repair & Service Dubai,"Owners of Porsche 911, Cayman, Cayenne, Panamera, Macan and other models can request inspection and workshop support at Digi-Tec. PDK, powertrain, brake, suspension and diagnostic scope is confirmed from the VIN, fitted systems and vehicle condition before work begins.","Porsche service and repair in Dubai for 911, Cayenne, Macan, Panamera, Cayman and Taycan, with diagnostics, PDK, brakes and suspension care in Al Quoz.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request Porsche Service ; Request a Porsche Inspection ; Request an Inspection ; WhatsApp,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
306,power steering mechanic,All vehicles: Steering repair,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,49.0,0.0,8.1,4–10,https://digitecme.com/services/steering-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,"Clarified power-steering/rack title; retained useful inspection copy; added hero, quote-scope and final inspection actions plus suspension/Porsche/Mercedes owner links.","Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.","Steering Repair Dubai | Power Steering, Rack & EPS",Power Steering & Rack Repair Dubai | DIGI-TEC,Steering Repair in Dubai,Steering Repair in Dubai,"Digitec Performance Center inspects and repairs supported hydraulic, electric and electro-hydraulic steering concerns in Dubai. Heavy steering, free play, noise, vibration, leaks or warning messages are assessed according to the installed system before work is proposed.","Heavy, noisy or leaking steering? Book rack, pump and EPS inspection and repair in Dubai for selected German and luxury cars.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request a Steering Inspection ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
30,fuel system repair,All vehicles: Fuel system repair,CRITICAL,PRIORITIZE,Commercial service enquiry,High,1.0,48.0,0.0208,7.4,4–10,https://digitecme.com/services/fuel-system-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Shared service enquiry URL now includes the chosen service. Selected commercial owners also receive specific hero/mid/final actions and related owner links; exact rendered differences are recorded here.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Fuel System Repair Dubai | Injector & Pump | Digitec,Fuel System Repair Dubai | Injector & Pump | Digitec,Fuel System Repair in Dubai,Fuel System Repair in Dubai,"Efficient fuel delivery is important to engine performance, economy and emissions. Digi-Tec inspects injectors, pumps, throttle bodies and pressure-control concerns, with the exact tests and repair scope based on the vehicle and symptoms.","Fuel-system inspection and repair in Dubai for supported injectors, pumps, filters, pressure controls, lines and throttle systems.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request Fuel-System Diagnosis ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
311,power steering repairs,All vehicles: Steering repair,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,48.0,0.0,8.79,4–10,https://digitecme.com/services/steering-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,"Clarified power-steering/rack title; retained useful inspection copy; added hero, quote-scope and final inspection actions plus suspension/Porsche/Mercedes owner links.","Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.","Steering Repair Dubai | Power Steering, Rack & EPS",Power Steering & Rack Repair Dubai | DIGI-TEC,Steering Repair in Dubai,Steering Repair in Dubai,"Digitec Performance Center inspects and repairs supported hydraulic, electric and electro-hydraulic steering concerns in Dubai. Heavy steering, free play, noise, vibration, leaks or warning messages are assessed according to the installed system before work is proposed.","Heavy, noisy or leaking steering? Book rack, pump and EPS inspection and repair in Dubai for selected German and luxury cars.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request a Steering Inspection ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
312,power steering repair shop,All vehicles: Steering repair,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,47.0,0.0,6.28,4–10,https://digitecme.com/services/steering-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,"Clarified power-steering/rack title; retained useful inspection copy; added hero, quote-scope and final inspection actions plus suspension/Porsche/Mercedes owner links.","Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.","Steering Repair Dubai | Power Steering, Rack & EPS",Power Steering & Rack Repair Dubai | DIGI-TEC,Steering Repair in Dubai,Steering Repair in Dubai,"Digitec Performance Center inspects and repairs supported hydraulic, electric and electro-hydraulic steering concerns in Dubai. Heavy steering, free play, noise, vibration, leaks or warning messages are assessed according to the installed system before work is proposed.","Heavy, noisy or leaking steering? Book rack, pump and EPS inspection and repair in Dubai for selected German and luxury cars.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request a Steering Inspection ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
336,rox01 soft close door,rox: Soft close doors,CRITICAL,SPLIT,Commercial service enquiry,Medium,0.0,43.0,0.0,7.58,4–10,https://digitecme.com/brands/rox-service-dubai/soft-close-door-installation,Unknown: supplied export does not pair query and page,Implemented in source,Made the existing distinct ROX01 soft-close page indexable in English only; included it in the sitemap and suppressed an Arabic alternate claim. Retained its compatibility/installation scope; shared heading and service-enquiry improvements also apply.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",ROX 01 Soft Close Installation Dubai | Digi-Tec,ROX 01 Soft Close Installation Dubai | Digi-Tec,ROX 01 Soft Close Installation Dubai,ROX 01 Soft Close Installation Dubai,"Digi-Tec provides dedicated ROX 01 soft close installation in Dubai for owners who want the premium pull-close function added to their SUV. Our Al Quoz workshop checks door compatibility, latch fitment, wiring routes, door alignment and safety operation before installation. We also diagnose and repair ROX soft close systems that click, stop halfway, fail to pull the door shut or leave a door-open warning on the display.","ROX 01 soft close installation in Dubai. Digi-Tec fits, diagnoses and repairs soft close door systems with compatibility checks in Al Quoz.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Discuss ROX Soft-Close Doors,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
337,car muffler repair,All vehicles: Exhaust repair,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,43.0,0.0,9.33,4–10,https://digitecme.com/services/exhaust-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Replaced ambiguous Cat title with exhaust and muffler repair; kept repair intent and cost FAQs; added quote guidance and contextual enquiry actions; modification requests remain with tuning.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.","Exhaust Repair Dubai | Cat, Muffler, DPF & Performance",Exhaust & Muffler Repair Dubai | DIGI-TEC,Exhaust Repair in Dubai,Exhaust Repair in Dubai,"Digitec Performance Center inspects and repairs supported exhaust concerns in Dubai. Excessive noise, visible damage, exhaust smell, reduced power or warning messages can lead to leak, restriction, sensor and after-treatment checks before repair or replacement is proposed.","Exhaust and muffler repair in Al Quoz, Dubai. Assessment of leaks, noise, sensors and catalyst or DPF concerns before repair is quoted at DIGI-TEC.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request an Exhaust Inspection ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
338,porsche diagnostics dip2,porsche: Diagnostics and supported coding,CRITICAL,SPLIT,Commercial service enquiry,High,0.0,43.0,0.0,9.81,4–10,https://digitecme.com/brands/porsche-service-dubai/engine-diagnostics,Unknown: supplied export does not pair query and page,Implemented in source,Aligned title/H1/opening/process with diagnostics across relevant fitted modules and drivability concerns; preserved actual Al Quoz location and qualified access; specific booking actions.,"Location variant retained as supporting only; actual workshop is Al Quoz, not DIP2.",Porsche Engine Diagnostics Dubai | Digi-Tec,Porsche Diagnostics Dubai | DIGI-TEC Al Quoz,Porsche Engine Diagnostics Dubai,Porsche Diagnostics in Dubai,"DIGI-TEC investigates Porsche warning lights, misfires, starting concerns and changes in drivability at the Al Quoz workshop. The model, fitted powertrain and complaint determine which compatible modules, live data and physical tests are relevant. A stored code is a starting point; diagnosis separates an electrical, mechanical or control concern before repair is quoted.","Porsche diagnostics in Al Quoz, Dubai for warning lights, drivability and module concerns. Compatible testing and repair scope confirmed at DIGI-TEC.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book Porsche Diagnostics ; Contact Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
348,car silencer repair near me,All vehicles: Exhaust repair,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,41.0,0.0,7.39,4–10,https://digitecme.com/services/exhaust-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Replaced ambiguous Cat title with exhaust and muffler repair; kept repair intent and cost FAQs; added quote guidance and contextual enquiry actions; modification requests remain with tuning.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.","Exhaust Repair Dubai | Cat, Muffler, DPF & Performance",Exhaust & Muffler Repair Dubai | DIGI-TEC,Exhaust Repair in Dubai,Exhaust Repair in Dubai,"Digitec Performance Center inspects and repairs supported exhaust concerns in Dubai. Excessive noise, visible damage, exhaust smell, reduced power or warning messages can lead to leak, restriction, sensor and after-treatment checks before repair or replacement is proposed.","Exhaust and muffler repair in Al Quoz, Dubai. Assessment of leaks, noise, sensors and catalyst or DPF concerns before repair is quoted at DIGI-TEC.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request an Exhaust Inspection ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
