briefId,url,queryCount,targetQueryGroups,status,beforeTitle,afterTitle,beforeH1,afterH1,beforeDescription,afterDescription,specificChanges,filesChanged,validation,production,remainingEvidence
ELEC,https://digitecme.com/services/mercedes-electrical-repair-dubai,6,Electrical and ECU faults,Changed in prepared release,Mercedes-Benz Electrical Repair Dubai | Digi-Tec,Mercedes Electrical & ECU Fault Repair Dubai | Digi-Tec,Mercedes-Benz Electrical Repair Dubai,Mercedes Electrical Fault Diagnosis & Repair in Dubai,"Mercedes-Benz electrical repair in Dubai with model-specific inspection, confirmed parts options and a clear quote at Digi-Tec, Al Quoz.","Mercedes electrical and ECU fault assessment in Al Quoz. Wiring, voltage, charging and network checks guide supported repair or replacement decisions.","Separated supply/grounds/wiring/network and SAM investigation from coding. Explained conditional ECU repair/replacement and compatibility, with links to diagnostics and battery/no-start guides.",src/data/mercedesServiceContent.ts; src/data/brandServices.ts; src/pages/BrandServicePage.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,A real electrical diagnostic case is still needed.
STEER,https://digitecme.com/services/mercedes-steering-repair-dubai,1,Steering repair,Changed in prepared release,Mercedes-Benz Steering Repair Dubai | Digi-Tec,Mercedes Steering Repair Dubai | Digi-Tec,Mercedes-Benz Steering Repair Dubai,Mercedes Steering Repair in Dubai,"Mercedes-Benz steering repair in Dubai with model-specific inspection, confirmed parts options and a clear quote at Digi-Tec, Al Quoz.","Mercedes steering repair assessment in Al Quoz, Dubai. Rack, assistance, hydraulic and alignment concerns inspected before replacement is proposed.","Added electric/hydraulic/rack identification, testing before replacement, parts scope and conditional alignment/calibration checks. Linked suspension assessment.",src/data/mercedesServiceContent.ts; src/data/brandServices.ts; src/pages/BrandServicePage.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,Model-specific repair evidence can be added when an actual job record is supplied.
EXHAUST,https://digitecme.com/services/mercedes-exhaust-repair-dubai,1,Exhaust repair,Changed in prepared release,Mercedes-Benz Exhaust Repair Dubai | Digi-Tec,Mercedes Exhaust Repair Dubai | Digi-Tec,Mercedes-Benz Exhaust Repair Dubai,Mercedes Exhaust Repair in Dubai,"Mercedes-Benz exhaust repair in Dubai with model-specific inspection, confirmed parts options and a clear quote at Digi-Tec, Al Quoz.","Mercedes exhaust repair assessment in Al Quoz. Leaks, mounts, rattles and sensor faults checked, with vehicle-compatible repair options explained.","Added leak/mount/noise/sensor diagnosis, compatible repair options and verification. Kept performance hardware enquiries on the tuning page.",src/data/mercedesServiceContent.ts; src/data/brandServices.ts; src/pages/BrandServicePage.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,A real inspected repair record is still needed.
TUNE,https://digitecme.com/tuning,28,Performance tuning and GAD,Changed in prepared release,Performance Tuning Dubai | ECU & Hardware Projects | Digi-Tec,Performance Tuning Dubai | ECU & Hardware Projects | Digi-Tec,GAD Motors Performance Tuning,GAD Motors Performance Tuning,"Vehicle-specific ECU tuning and supporting-hardware projects for performance cars at Digi-Tec in Al Quoz, Dubai.","Vehicle-specific ECU tuning and supporting-hardware projects for performance cars at Digi-Tec in Al Quoz, Dubai.","Preserved the title, H1 and configurator. Added Mercedes-AMG assessment, stage definitions, hardware/fuel dependencies, coding distinction and all four planned project/guide links. Rendered the existing EN/AR FAQs so FAQ schema matches visible content.",src/pages/Tuning.tsx; src/data/aiGuidePosts.ts,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,No additional business-evidence dependency identified.
AUDIO,https://digitecme.com/services/mercedes-audio-upgrade-dubai,3,Audio upgrades,Blocked,Not checked,Not created,,Not created,,,No page created. Existing audio fault-repair wording does not establish upgrade capability. All three assigned audio-upgrade queries remain in the coverage register pending service confirmation.,,Verified absent; conditional query assignments retained,Publication blocked by app write permissions; updated release not verified live,"Confirm the offered upgrade service, supported configurations, fitting scope and actual examples before creating this page."
G63,https://digitecme.com/blog/mercedes-g63-service-dubai-guide,1,G63 model service,Changed in prepared release,Mercedes-AMG G63 Service & Repair Dubai | Digi-Tec,Mercedes-AMG G63 Service & Repair Dubai | Digi-Tec,Mercedes-AMG G63 Service & Repair Dubai,Mercedes-AMG G63 Service & Repair Dubai,"G63 service and repair in Dubai for M157 and M177 V8s, AMG transmissions, cooling, brakes, differential locks and G-Class diagnostics.","G63 service and repair in Dubai for M157 and M177 V8s, AMG transmissions, cooling, brakes, differential locks and G-Class diagnostics.","Preserved the existing generation-specific content and documented conversion link. Added contextual engine, suspension, gearbox and other system links; scheduled maintenance now leads to the hub.",src/data/mercedesModelPages.ts; src/pages/MercedesModelPage.tsx; src/i18n/mercedes-language.ts,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,"Existing G63 conversion retained, but no new model repair case was supplied. Current query-to-page/indexing data was not available; recommended assignments are not observed ranking URLs."
GCLASS,https://digitecme.com/mercedes/models/g-class-service-repair-dubai,2,G-Class model service,Changed in prepared release,Mercedes G-Class Service & Repair Dubai | Digi-Tec,Mercedes G-Class Service & Repair Dubai | Digi-Tec,Mercedes G-Class Service & Repair Dubai,Mercedes G-Class Service & Repair Dubai,"Mercedes G-Class service and repair in Dubai for G500, G550 and diesel models: 4MATIC driveline, differential locks, cooling and diagnostics.","Mercedes G-Class service and repair in Dubai for G500, G550 and diesel models: 4MATIC driveline, differential locks, cooling and diagnostics.","Preserved the substantial petrol/diesel/4x4 and coil-spring content. Added direct G63 sibling navigation, system service links and the correct scheduled-maintenance destination.",src/data/mercedesModelPages.ts; src/pages/MercedesModelPage.tsx; src/i18n/mercedes-language.ts,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,No documented model repair case was supplied. Current query-to-page/indexing data was not available; recommended assignments are not observed ranking URLs.
C63,https://digitecme.com/mercedes/models/c63-service-repair-dubai,2,C63 model service,Changed in prepared release,Mercedes-AMG C63 Service & Repair Dubai | Digi-Tec,Mercedes-AMG C63 Service & Repair Dubai | Digi-Tec,Mercedes-AMG C63 Service & Repair Dubai,Mercedes-AMG C63 Service & Repair Dubai,"Mercedes-AMG C63 service in Dubai for W204, W205 and W206: M156, M177 and M139 hybrid powertrains, AMG transmissions, brakes and cooling.","Mercedes-AMG C63 service in Dubai for W204, W205 and W206: M156, M177 and M139 hybrid powertrains, AMG transmissions, brakes and cooling.",Preserved W204/W205/W206 and hybrid distinctions. Qualified coupe/cabriolet coverage by generation and added contextual system links and hub maintenance booking.,src/data/mercedesModelPages.ts; src/pages/MercedesModelPage.tsx; src/i18n/mercedes-language.ts,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,No documented model repair case was supplied. Current query-to-page/indexing data was not available; recommended assignments are not observed ranking URLs.
CCLASS,https://digitecme.com/blog/mercedes-c-class-service-dubai-guide,6,C-Class model service,Changed in prepared release,Mercedes C-Class Service & Repair Dubai | Digi-Tec,Mercedes C-Class Service & Repair Dubai | Digi-Tec,Mercedes C-Class Service & Repair Dubai,Mercedes C-Class Service & Repair Dubai,"Mercedes C-Class service and repair in Dubai for W204, W205 and W206 models, covering 7G/9G transmissions, cooling, AC, suspension and diagnostics.","Mercedes C-Class service and repair in Dubai for W204, W205 and W206 models, covering 7G/9G transmissions, cooling, AC, suspension and diagnostics.",Corrected W205 optional AIRMATIC to cover both axles. Added qualified C200/C300 and C205/A205 family coverage. Added system links and corrected maintenance booking.,src/data/mercedesModelPages.ts; src/pages/MercedesModelPage.tsx; src/i18n/mercedes-language.ts,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,No documented model repair case was supplied. Current query-to-page/indexing data was not available; recommended assignments are not observed ranking URLs.
E63,https://digitecme.com/mercedes/models/e63-service-repair-dubai,1,E63 model service,Changed in prepared release,Mercedes-AMG E63 Service & Repair Dubai | Digi-Tec,Mercedes-AMG E63 Service & Repair Dubai | Digi-Tec,Mercedes-AMG E63 Service & Repair Dubai,Mercedes-AMG E63 Service & Repair Dubai,"Mercedes-AMG E63 service and repair in Dubai for W212 and W213 M156, M157 and M177 models, AMG MCT, 4MATIC+, air suspension and cooling.","Mercedes-AMG E63 service and repair in Dubai for W212 and W213 M156, M157 and M177 models, AMG MCT, 4MATIC+, air suspension and cooling.","Preserved the detailed W212/W213, AMG transmission and driveline content. Added system-level links and corrected scheduled-maintenance booking; no unsupported model rewrite.",src/data/mercedesModelPages.ts; src/pages/MercedesModelPage.tsx; src/i18n/mercedes-language.ts,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,No documented model repair case was supplied. Current query-to-page/indexing data was not available; recommended assignments are not observed ranking URLs.
ECLASS,https://digitecme.com/blog/mercedes-e-class-service-dubai-guide,8,E-Class model service,Changed in prepared release,Mercedes E-Class Service & Repair Dubai | Digi-Tec,Mercedes E-Class Service & Repair Dubai | Digi-Tec,Mercedes E-Class Service & Repair Dubai,Mercedes E-Class Service & Repair Dubai,"Mercedes E-Class service and repair in Dubai for W212, W213 and W214, including 7G/9G transmissions, suspension, 48V systems, AC and diagnostics.","Mercedes E-Class service and repair in Dubai for W212, W213 and W214, including 7G/9G transmissions, suspension, 48V systems, AC and diagnostics.","Added generation-qualified E300/E350 and C207/A207/C238/A238 coupe/cabriolet coverage, avoiding a W214 coupe claim. Added engine and other system links and corrected maintenance booking.",src/data/mercedesModelPages.ts; src/pages/MercedesModelPage.tsx; src/i18n/mercedes-language.ts,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,No documented model repair case was supplied. Current query-to-page/indexing data was not available; recommended assignments are not observed ranking URLs.
SCLASS,https://digitecme.com/blog/mercedes-s-class-service-dubai-guide,4,S-Class model service,Changed in prepared release,Mercedes S-Class Service & Repair Dubai | Digi-Tec,Mercedes S-Class Service & Repair Dubai | Digi-Tec,Mercedes S-Class Service & Repair Dubai,Mercedes S-Class Service & Repair Dubai,"Mercedes S-Class service and repair in Dubai for W221, W222 and W223, covering AIRMATIC, ABC, E-ACTIVE BODY CONTROL, 9G and electronics.","Mercedes S-Class service and repair in Dubai for W221, W222 and W223, covering AIRMATIC, ABC, E-ACTIVE BODY CONTROL, 9G and electronics.","Added qualified C217/A217 and S65 V12 enquiries, direct Maybach/S63 navigation and contextual engine/gearbox/system links.",src/data/mercedesModelPages.ts; src/pages/MercedesModelPage.tsx; src/i18n/mercedes-language.ts,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,No documented model repair case was supplied. Current query-to-page/indexing data was not available; recommended assignments are not observed ranking URLs.
S63,https://digitecme.com/mercedes/models/s63-service-repair-dubai,2,S63 model service,Changed in prepared release,Mercedes-AMG S63 Service & Repair Dubai | Digi-Tec,Mercedes-AMG S63 Service & Repair Dubai | Digi-Tec,Mercedes-AMG S63 Service & Repair Dubai,Mercedes-AMG S63 Service & Repair Dubai,"Mercedes-AMG S63 service and repair in Dubai for W221, W222 and W223 E PERFORMANCE models: V8, MCT, air suspension, hybrid and cooling.","Mercedes-AMG S63 service and repair in Dubai for W221, W222 and W223 E PERFORMANCE models: V8, MCT, air suspension, hybrid and cooling.","Added C217/A217 coupe/cabriolet identification, separated S65 V12 enquiries and linked S-Class/Maybach and relevant system services.",src/data/mercedesModelPages.ts; src/pages/MercedesModelPage.tsx; src/i18n/mercedes-language.ts,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,No documented model repair case was supplied. Current query-to-page/indexing data was not available; recommended assignments are not observed ranking URLs.
GLE,https://digitecme.com/mercedes/models/gle-service-repair-dubai,6,GLE and ML model service,Changed in prepared release,Mercedes GLE Service & Repair Dubai | Digi-Tec,Mercedes GLE Service & Repair Dubai | Digi-Tec,Mercedes GLE Service & Repair Dubai,Mercedes GLE Service & Repair Dubai,"Mercedes GLE service and repair in Dubai for W166 and W167: 4MATIC, 7G/9G, AIRMATIC, E-ACTIVE BODY CONTROL, cooling and diagnostics.","Mercedes GLE service and repair in Dubai for W166 and W167: 4MATIC, 7G/9G, AIRMATIC, E-ACTIVE BODY CONTROL, cooling and diagnostics.",Qualified M-Class/ML63/GLE63 and SUV/Coupe equipment. Removed the assumption that every AMG uses conventional 9G-TRONIC. Added engine/system links and hub maintenance booking.,src/data/mercedesModelPages.ts; src/pages/MercedesModelPage.tsx; src/i18n/mercedes-language.ts,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,No documented model repair case was supplied. Current query-to-page/indexing data was not available; recommended assignments are not observed ranking URLs.
GLS,https://digitecme.com/mercedes/models/gls-service-repair-dubai,3,GLS and GL model service,Changed in prepared release,Mercedes GLS Service & Repair Dubai | Digi-Tec,Mercedes GLS Service & Repair Dubai | Digi-Tec,Mercedes GLS Service & Repair Dubai,Mercedes GLS Service & Repair Dubai,"Mercedes GLS service and repair in Dubai for X166 and X167: 9G-TRONIC, 4MATIC, AIRMATIC, E-ACTIVE BODY CONTROL, cooling and electronics.","Mercedes GLS service and repair in Dubai for X166 and X167: 9G-TRONIC, 4MATIC, AIRMATIC, E-ACTIVE BODY CONTROL, cooling and electronics.",Qualified conventional versus AMG transmission scope and linked Maybach-specific enquiries. Added engine/system links and corrected scheduled-maintenance booking.,src/data/mercedesModelPages.ts; src/pages/MercedesModelPage.tsx; src/i18n/mercedes-language.ts,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,No documented model repair case was supplied. Current query-to-page/indexing data was not available; recommended assignments are not observed ranking URLs.
MAYBACH,https://digitecme.com/brands/maybach-service-dubai,1,Maybach model service,Changed in prepared release,Not checked,Maybach Service & Repair Dubai | Digi-Tec Workshop,,Maybach Repair & Service Dubai,,"Maybach service and repair in Dubai for S-Class, GLS, S580 and S680. Vehicle-specific diagnostics, suspension, AC and mechanical care in Al Quoz.",Preserved the dedicated hub and its existing service/repair title/H1. Added S-Class and Mercedes-hub navigation with VIN/Maybach equipment qualifications. No expansion based on the small query sample.,src/pages/BrandPage.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,No additional business-evidence dependency identified.
COST,https://digitecme.com/blog/mercedes-service-cost-dubai-guide,1,Service costs,Changed in prepared release,"Mercedes Service Dubai | Intervals, Scope and Cost Factors",Mercedes Service Cost Dubai | A & B Scope | Digi-Tec,"Mercedes Service in Dubai: Scope, Intervals and What Affects Cost",Mercedes Service Cost in Dubai: Service A & B Scope,"A Mercedes service guide for Dubai owners: what Service A and Service B include, the extra checks Dubai heat demands, and what drives the final cost.","Understand Mercedes Service A and B cost factors in Dubai: due work, oil specification, parts, labour, diagnosis and the details an itemized quote should show.","Applied the cost-specific title/H1. Replaced universal A/B inclusions, annual outer-limit, blanket programming and resale guarantees with vehicle-specific scope, itemized costs, tax, exclusions and recordkeeping. Kept the original publication date and added an update date.",src/data/aiGuidePosts.ts; src/data/blogPosts.ts; src/pages/BlogPost.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,"Workshop-approved dated prices, VAT treatment and vehicle assumptions were not supplied; no price claims added."
INTERVAL,https://digitecme.com/blog/mercedes-service-intervals-dubai-heat,4,Service schedule and ASSYST,Changed in prepared release,Mercedes Service Intervals Dubai | Digitec Performance,Mercedes Service Intervals & ASSYST Dubai | Digi-Tec,Mercedes Service Intervals in Dubai Heat: What You Need to Know,Mercedes Service Intervals & ASSYST in Dubai,"Learn the right Mercedes service interval for Dubai heat. Expert advice on oil, coolant, and brake intervals from Digitec Performance Center.","How VIN, model year, ASSYST and service history determine Mercedes maintenance in Dubai. Interpret the displayed service code before selecting due work.",Applied the ASSYST title/H1. Removed fixed Dubai-wide oil/brake-fluid/coolant/transmission intervals and the European-only schedule claim. Added VIN/history/display selection and conditional A3/A9/AH interpretation. Kept the original publication date and added an update date.,src/data/blogPosts.ts; src/pages/BlogPost.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,No additional business-evidence dependency identified.
OWNERSHIP,https://digitecme.com/blog/mercedes-benz-maintenance-guide-dubai,1,Ownership and reliability,Changed in prepared release,Mercedes-Benz Maintenance Dubai | DIGI-TEC,Mercedes-Benz Maintenance Dubai | DIGI-TEC,Mercedes-Benz Maintenance Guide for Dubai Owners,Mercedes-Benz Maintenance Guide for Dubai Owners,"Mercedes-Benz workshop in Dubai for diagnostics, maintenance and repair. Visit DIGI-TEC in Al Quoz for clear inspections, practical guidance and booking support.","Mercedes-Benz workshop in Dubai for diagnostics, maintenance and repair. Visit DIGI-TEC in Al Quoz for clear inspections, practical guidance and booking support.","Added a Gulf ownership/reliability answer based on condition, history and fitted equipment, plus the pre-purchase guide link. Replaced blanket shortened-interval language and removed Mercedes customer-facing editorial/image-production instructions.",src/data/brandWorkshopArticles.ts; src/pages/BrandWorkshopArticlePage.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,No additional business-evidence dependency identified.
