Keyword,Source,Impressions,Average position,Intent,Proposed owner URL,Supporting section,Capability evidence,Action
"lamborghini specialist","GSC",17,18.29,"Specialist evaluation","/brands/lamborghini-service-dubai","Vehicle-specific scope and evidence","No unsupported certification claim","Support"
"lamborghini suspension repair","GSC",13,40.23,"Suspension repair","/brands/lamborghini-service-dubai/suspension-repair","Variant-specific suspension assessment","Urus air suspension separated from supercar front lift","Target"
"lamborghini transmission repair dubai","GSC",10,19.10,"Gearbox repair","/brands/lamborghini-service-dubai/transmission-repair","LDF automatic and ISR distinctions","Internal repair capability confirmed only after diagnosis","Target"
"lamborghini dubai service center","GSC",9,23.11,"Local service centre","/brands/lamborghini-service-dubai","Location and service overview","Independent workshop status explicit","Support"
"lamborghini garage dubai","GSC",6,19.50,"Local workshop","/brands/lamborghini-service-dubai","Location and directions","Verified Al Quoz address","Support"
"lamborghini oil change dubai","Proposed",,,"Oil service","/brands/lamborghini-service-dubai/oil-change","Oil and maintenance page","Specification confirmed per model/year","Target"
"lamborghini scheduled maintenance dubai","Proposed",,,"Maintenance","/brands/lamborghini-service-dubai/oil-change","Schedule FAQ","No universal interval or package","Target"
"lamborghini major service dubai","Proposed",,,"Maintenance package","/brands/lamborghini-service-dubai/oil-change","Due-items explanation","Itemised vehicle-specific scope only","Support"
"lamborghini diagnostics dubai","Proposed",,,"Diagnostics","/brands/lamborghini-service-dubai/engine-diagnostics","Warning-light workflow","Compatible access confirmed before booking","Target"
"lamborghini check engine light diagnosis dubai","Proposed",,,"Engine diagnostics","/brands/lamborghini-service-dubai/engine-diagnostics","Symptoms and process","Code is not treated as parts diagnosis","Target"
"lamborghini oil leak repair dubai","Proposed",,,"Mechanical repair","/brands/lamborghini-service-dubai/mechanical-repair","Symptoms","Inspection determines source and scope","Target"
"lamborghini overheating diagnosis dubai","Proposed",,,"Cooling diagnosis","/brands/lamborghini-service-dubai/mechanical-repair","Cooling assessment","No cause inferred from warning alone","Target"
"lamborghini gearbox diagnostics dubai","Proposed",,,"Transmission diagnostics","/brands/lamborghini-service-dubai/transmission-repair","Architecture-specific workflow","Fitted gearbox identified first","Target"
"lamborghini LDF gearbox service dubai","Proposed",,,"Huracán transmission","/brands/lamborghini-service-dubai/transmission-repair","Huracán section","Applied only to verified LDF vehicles","Support"
"lamborghini ISR gearbox diagnosis dubai","Proposed",,,"Aventador transmission","/brands/lamborghini-service-dubai/transmission-repair","Aventador section","Applied to verified ISR vehicles","Support"
"lamborghini clutch diagnosis dubai","Proposed",,,"Transmission/clutch","/brands/lamborghini-service-dubai/transmission-repair","Assessment scope","Clutch/hydraulic capability confirmed per vehicle","Defer beyond assessment"
"lamborghini air suspension repair dubai","Proposed",,,"Suspension","/brands/lamborghini-service-dubai/suspension-repair","Urus-specific distinction","Urus S system verified; other variants checked separately","Support"
"lamborghini front lift repair dubai","Proposed",,,"Lift/hydraulic","/brands/lamborghini-service-dubai/suspension-repair","Supercar lift distinction","Hydraulic repair and calibration capability unverified","Defer beyond assessment"
"lamborghini brake repair dubai","Proposed",,,"Brake repair","/brands/lamborghini-service-dubai/brake-repair","Brake inspection page","Fitted system and measurement method confirmed","Target"
"lamborghini carbon ceramic brake inspection dubai","Proposed",,,"Brake inspection","/brands/lamborghini-service-dubai/brake-repair","Brake FAQ","Inspection only; no resurfacing promise","Support"
"lamborghini electrical repair dubai","Proposed",,,"Electrical repair","/brands/lamborghini-service-dubai/electrical-repair","Electrical assessment","No universal programming access claim","Target"
"lamborghini battery drain diagnosis dubai","Proposed",,,"Low-voltage diagnosis","/brands/lamborghini-service-dubai/battery-replacement","Testing process","Charging and unwanted-current testing where relevant","Target"
"lamborghini AC repair dubai","Proposed",,,"AC repair","/brands/lamborghini-service-dubai/ac-repair","AC assessment","Vehicle label determines refrigerant","Target"
"lamborghini service cost dubai","Proposed",,,"Cost/estimate","/brands/lamborghini-service-dubai","Estimate and approval section","No invented price; scope follows findings","Target"
"lamborghini pre-purchase inspection dubai","Proposed",,,"PPI","","None","PPI capability not confirmed","Defer"
"lamborghini Urus service Dubai","Proposed",,,"Model maintenance","/blog/lamborghini-urus-service-dubai-guide","Urus owner guide","Existing guide and hub links preserved","Support"
"lamborghini Huracan service Dubai","Proposed",,,"Model service","/brands/lamborghini-service-dubai","Huracán hub section","No distinct GSC demand in extract","Support; model page deferred"
"lamborghini Aventador service Dubai","Proposed",,,"Model service","/brands/lamborghini-service-dubai","Aventador hub section","No distinct GSC demand in extract","Support; model page deferred"
"lamborghini Revuelto hybrid repair Dubai","Proposed",,,"Hybrid high-voltage repair","","None","Hybrid high-voltage capability unverified","Exclude"
"lamborghini tuning Dubai","Proposed",,,"Performance tuning","","None","Lamborghini tuning scope unverified","Exclude"
"lamborghini carbon structure repair Dubai","Proposed",,,"Structural repair","","None","Carbon-structure capability unverified","Exclude"
