Keyword,Source,Impressions,Average position,Search intent,Proposed owner URL,Supporting section,Implementation status,Capability verification,Exclusion or deferral reason
"mclaren service","GSC workbook Queries",19,11.79,"Broad service","/brands/mclaren-service-dubai","Hero","Implemented","Independent workshop positioning",""
"mclaren service center near me","GSC workbook Queries",19,12.63,"Proximity/local","/brands/mclaren-service-dubai","Al Quoz address and directions CTA","Implemented","Physical location is described; phrase not stuffed into copy","Handled through location signals rather than literal near-me copy"
"mclaren engine repair abu dhabi","GSC workbook Queries",15,13.60,"Different-city engine repair","","None","Excluded","No Abu Dhabi premises verified","Do not create misleading Abu Dhabi location targeting"
"mclaren service center dubai","GSC workbook Queries",15,13.87,"Local commercial service","/brands/mclaren-service-dubai","Metadata hero and FAQs","Implemented","Independent status prevents authorised-centre implication",""
"mclaren service abu dhabi","GSC workbook Queries",15,15.40,"Different-city service","","None","Excluded","No Abu Dhabi premises verified","Do not create misleading Abu Dhabi location targeting"
"mclaren repair shop","GSC workbook Queries",13,10.92,"Workshop/repair","/brands/mclaren-service-dubai","Workshop-services overview","Implemented","Independent Al Quoz workshop",""
"mclaren specialist","GSC workbook Queries",10,12.30,"Specialist evaluation","/brands/mclaren-service-dubai","Vehicle-first process and capability caveats","Implemented","No unsupported specialist certification claim","Intent covered naturally; no superlative claim"
"best mclaren service center dubai","GSC workbook Queries",9,13.22,"Workshop comparison","/blog/mclaren-best-workshop-dubai","Selection criteria and estimate guide","Implemented","Comparison guidance only","No claim that DIGI-TEC is the best"
"best mclaren service center abu dhabi","GSC workbook Queries",9,21.78,"Different-city comparison","","None","Excluded","No Abu Dhabi premises verified","No Abu Dhabi page and no best claim"
"mclaren car service","GSC workbook Queries",6,15.50,"Broad service","/brands/mclaren-service-dubai","Hero and hub FAQ","Implemented","Independent service enquiries",""
"mclaren repair near me","GSC workbook Queries",6,22.17,"Proximity/local repair","/brands/mclaren-service-dubai","Address and directions CTA","Implemented","Physical Dubai location confirmed","Handled through location signals rather than literal near-me copy"
"mclaren repair center","GSC workbook Queries",5,8.80,"Broad repair centre","/brands/mclaren-service-dubai","Independent workshop explanation","Implemented","No manufacturer-authorised centre claim",""
"mclaren diagnostics dubai","Proposed expansion",,"","Diagnostics","/brands/mclaren-service-dubai/engine-diagnostics","Diagnostics page","Implemented","Compatible diagnostic access confirmed per vehicle",""
"mclaren warning light diagnosis dubai","Proposed expansion",,"","Diagnostic problem","/brands/mclaren-service-dubai/engine-diagnostics","Warning-light workflow","Implemented","No code-equals-part claim",""
"mclaren reduced performance warning","Proposed expansion",,"","Diagnostic informational/commercial","/brands/mclaren-service-dubai/engine-diagnostics","Symptoms and FAQ","Implemented","Vehicle-specific assessment",""
"mclaren gearbox warning dubai","Proposed expansion",,"","Transmission diagnostic","/brands/mclaren-service-dubai/transmission-repair","Symptoms and process","Implemented","No unsupported rebuild promise",""
"mclaren clutch repair dubai","Proposed expansion",,"","Transmission repair","/brands/mclaren-service-dubai/transmission-repair","Fitted-system assessment","Deferred","Capability and exact fitted system must be confirmed","Do not promise clutch/internal repair without workshop confirmation"
"mclaren transmission service cost dubai","Proposed expansion",,"","Cost/commercial","/brands/mclaren-service-dubai/transmission-repair","Estimate factors FAQ","Implemented","Itemised estimate after identification and inspection",""
"mclaren oil service dubai","Proposed expansion",,"","Maintenance","/brands/mclaren-service-dubai/oil-change","Title H1 and service process","Implemented","Model-specific specification",""
"mclaren annual service dubai","Proposed expansion",,"","Maintenance planning","/brands/mclaren-service-dubai/oil-change","Schedule FAQ","Implemented","Handbook/history/use determine plan",""
"mclaren overheating repair dubai","Proposed expansion",,"","Mechanical/cooling repair","/brands/mclaren-service-dubai/mechanical-repair","Symptoms and diagnostic process","Implemented","Assessment first; no guaranteed cause",""
"mclaren coolant leak dubai","Proposed expansion",,"","Mechanical/cooling repair","/brands/mclaren-service-dubai/mechanical-repair","Symptoms","Implemented","Inspection determines source and scope",""
"mclaren suspension warning dubai","Proposed expansion",,"","Suspension diagnosis","/brands/mclaren-service-dubai/suspension-repair","Hub suspension card and child page","Implemented","Model-specific system/capability confirmation",""
"mclaren front lift repair dubai","Proposed expansion",,"","Suspension/lift repair","/brands/mclaren-service-dubai/suspension-repair","Hub FAQ","Deferred","Hydraulic procedures and parts must be confirmed","Avoid accepting unsupported work before vehicle review"
"mclaren brake repair dubai","Proposed expansion",,"","Brake repair","/brands/mclaren-service-dubai/brake-repair","Brake and tyre card","Implemented","Fitted steel/carbon-ceramic system confirmed",""
"mclaren ac repair dubai","Proposed expansion",,"","AC repair","/brands/mclaren-service-dubai/ac-repair","AC card","Implemented","Correct refrigerant/equipment confirmed from vehicle label",""
"mclaren battery replacement dubai","Proposed expansion",,"","Battery/electrical","/brands/mclaren-service-dubai/battery-replacement","Existing child page and hub secondary links","Implemented","Replacement and any supported registration confirmed per vehicle",""
"mclaren electrical repair dubai","Proposed expansion",,"","Electrical repair","/brands/mclaren-service-dubai/electrical-repair","Electrical card","Implemented","Testing scope confirmed; no blanket programming claim",""
"mclaren 570s service dubai","Proposed model opportunity",,"","Model service","/brands/mclaren-service-dubai","Models section","Implemented on hub","Model enquiry supported by vehicle-level confirmation","Dedicated model page deferred pending demand and distinct content"
"mclaren 720s service dubai","Proposed model opportunity",,"","Model service","/brands/mclaren-service-dubai","Models section","Implemented on hub","Model enquiry supported by vehicle-level confirmation","Dedicated model page deferred pending demand and distinct content"
"mclaren artura service dubai","Proposed model opportunity",,"","Hybrid model service","/brands/mclaren-service-dubai","Models section","Deferred beyond enquiry","High-voltage capability not verified","No dedicated page or HV-service promise"
"mclaren coding dubai","Proposed expansion",,"","Programming/coding","","None","Excluded","McLaren programming/coding capability not verified","Do not target until tooling training and accepted scope are confirmed"
"mclaren tuning dubai","Proposed expansion",,"","Performance tuning","","None","Excluded","McLaren tuning capability not verified","Avoid unsupported performance promise"
"mclaren specialist dubai","Proposed expansion",,"","Independent specialist","/brands/mclaren-service-dubai","Independent workshop positioning","Implemented","Vehicle-specific scope confirmed; no certification claim",""
"independent mclaren service dubai","Proposed expansion",,"","Independent service","/brands/mclaren-service-dubai","Hero and independent-workshop FAQ","Implemented","Independent status stated accurately",""
"mclaren repair workshop dubai","Proposed expansion",,"","Local workshop repair","/brands/mclaren-service-dubai","Hero service overview and location","Implemented","Al Quoz workshop confirmed",""
"mclaren specialist garage dubai","Proposed expansion",,"","Local specialist workshop","/brands/mclaren-service-dubai","Workshop overview","Already covered","Covered semantically without certification claim","No separate synonym page"
"mclaren mechanic dubai","Proposed expansion",,"","Workshop service","/brands/mclaren-service-dubai","Service overview","Already covered","Independent workshop scope confirmed per vehicle","No separate mechanic page"
"mclaren service centre dubai","Proposed expansion",,"","Local service centre","/brands/mclaren-service-dubai","Hero and independent-workshop FAQ","Already covered","Does not imply manufacturer authorization",""
"mclaren servicing al quoz","Proposed expansion",,"","Local service","/brands/mclaren-service-dubai","Location and directions section","Implemented","Al Quoz Industrial Area 3 confirmed",""
"mclaren repair al quoz","Proposed expansion",,"","Local repair","/brands/mclaren-service-dubai","Location and directions section","Implemented","Al Quoz Industrial Area 3 confirmed",""
"mclaren servicing dubai","Proposed expansion",,"","Maintenance/service","/brands/mclaren-service-dubai","Hero and maintenance card","Implemented","Broad servicing belongs to hub",""
"mclaren scheduled maintenance dubai","Proposed expansion",,"","Scheduled maintenance","/brands/mclaren-service-dubai/oil-change","Vehicle-specific service planning","Implemented","Exact schedule confirmed by model/year",""
"mclaren service cost dubai","Proposed expansion",,"","Cost and quotation","/brands/mclaren-service-dubai","Cost and quotation section","Implemented","No fabricated price; inspection may be required",""
"mclaren maintenance cost dubai","Proposed expansion",,"","Maintenance quotation","/brands/mclaren-service-dubai","Cost FAQ and quote factors","Implemented","No fabricated AED amount",""
"mclaren service quote dubai","Proposed expansion",,"","Quote request","/brands/mclaren-service-dubai","Quote CTA and booking form","Implemented","Message requests an estimate; not a confirmed booking",""
"mclaren engine diagnostics dubai","Proposed expansion",,"","Engine diagnostics","/brands/mclaren-service-dubai/engine-diagnostics","Warning-light diagnostic workflow","Already covered","Compatible access and testing confirmed per vehicle",""
"mclaren check engine light diagnosis","Proposed expansion",,"","Warning-light diagnosis","/brands/mclaren-service-dubai/engine-diagnostics","Symptoms and FAQ","Implemented","Code is not treated as a failed-part diagnosis",""
"mclaren engine misfire diagnosis","Proposed expansion",,"","Engine symptom diagnosis","/brands/mclaren-service-dubai/engine-diagnostics","Symptoms and test process","Implemented","Cause confirmed through testing",""
"mclaren oil leak repair dubai","Proposed expansion",,"","Mechanical repair","/brands/mclaren-service-dubai/mechanical-repair","Leak and mechanical assessment","Implemented","Repair scope follows inspection",""
"mclaren coolant leak repair dubai","Proposed expansion",,"","Cooling repair","/brands/mclaren-service-dubai/mechanical-repair","Cooling and leak assessment","Already covered","Source and scope confirmed after testing",""
"mclaren overheating diagnosis","Proposed expansion",,"","Cooling diagnosis","/brands/mclaren-service-dubai/mechanical-repair","Overheating symptoms and process","Implemented","Symptom does not imply one failed component",""
"mclaren cooling system repair dubai","Proposed expansion",,"","Cooling repair","/brands/mclaren-service-dubai/mechanical-repair","Cooling assessment","Implemented","Accepted repair scope confirmed after diagnosis",""
"mclaren gearbox repair dubai","Proposed expansion",,"","Transmission repair","/brands/mclaren-service-dubai/transmission-repair","Gearbox assessment","Implemented","Internal repair/rebuild not promised",""
"mclaren gearbox diagnostics","Proposed expansion",,"","Transmission diagnosis","/brands/mclaren-service-dubai/transmission-repair","Diagnostic and physical assessment","Implemented","Fitted transmission identified first",""
"mclaren dct service dubai","Proposed expansion",,"","Transmission service","/brands/mclaren-service-dubai/transmission-repair","Transmission identification and service scope","Implemented","Specification varies by model",""
"mclaren ssg transmission service","Proposed expansion",,"","Transmission service","/brands/mclaren-service-dubai/transmission-repair","SSG/DCT distinction","Implemented","Seven- and eight-speed applications are not conflated",""
"mclaren transmission warning light","Proposed expansion",,"","Transmission diagnosis","/brands/mclaren-service-dubai/transmission-repair","Symptoms and FAQ","Implemented","Warning is assessed before service/repair recommendation",""
"mclaren gearbox shifting problems","Proposed expansion",,"","Transmission symptom","/brands/mclaren-service-dubai/transmission-repair","Shift-quality symptoms","Implemented","Diagnosis precedes parts recommendation",""
"mclaren suspension repair dubai","Proposed expansion",,"","Suspension repair","/brands/mclaren-service-dubai/suspension-repair","Suspension assessment card and child page","Implemented","Fitted suspension system confirmed",""
"mclaren suspension diagnostics","Proposed expansion",,"","Suspension diagnosis","/brands/mclaren-service-dubai/suspension-repair","Warning ride-height and noise assessment","Implemented","Model-specific procedures confirmed",""
"mclaren hydraulic suspension inspection","Proposed expansion",,"","Hydraulic suspension","/brands/mclaren-service-dubai/suspension-repair","Vehicle-specific system assessment","Deferred","Hydraulic procedure and capability require confirmation","No blanket hydraulic-work promise"
"mclaren suspension accumulator inspection","Proposed expansion",,"","Suspension component assessment","/brands/mclaren-service-dubai/suspension-repair","Vehicle-specific system assessment","Deferred","Accumulator applicability and accepted scope require confirmation",""
"mclaren brake service dubai","Proposed expansion",,"","Brake service","/brands/mclaren-service-dubai/brake-repair","Brake assessment","Already covered","Fitted system confirmed before parts",""
"mclaren brake pads replacement","Proposed expansion",,"","Brake replacement","/brands/mclaren-service-dubai/brake-repair","Measurement and parts confirmation","Implemented","Replacement follows inspection",""
"mclaren carbon ceramic brake inspection","Proposed expansion",,"","Carbon-ceramic brake inspection","/brands/mclaren-service-dubai/brake-repair","Model-specific brake assessment","Implemented","Does not imply every model has carbon-ceramic brakes",""
"mclaren steering diagnostics dubai","Proposed expansion",,"","Steering diagnosis","/brands/mclaren-service-dubai/steering-repair","Existing steering child page","Already covered","Accepted diagnostic/calibration scope confirmed per vehicle",""
"mclaren battery drain diagnosis","Proposed expansion",,"","Electrical diagnosis","/brands/mclaren-service-dubai/battery-replacement","Battery charging and current-draw assessment","Implemented","Testing precedes replacement",""
"mclaren not starting diagnosis","Proposed expansion",,"","Starting diagnosis","/brands/mclaren-service-dubai/electrical-repair","Electrical assessment","Implemented","Cause not assumed to be battery",""
"mclaren charging system diagnostics","Proposed expansion",,"","Charging diagnosis","/brands/mclaren-service-dubai/electrical-repair","Electrical assessment","Implemented","Vehicle-specific test scope",""
"mclaren air conditioning service dubai","Proposed expansion",,"","AC service","/brands/mclaren-service-dubai/ac-repair","AC assessment","Already covered","Vehicle label determines refrigerant",""
"mclaren ac not cooling","Proposed expansion",,"","AC symptom","/brands/mclaren-service-dubai/ac-repair","Weak-cooling diagnostic path","Implemented","Leak or failed part not assumed",""
"mclaren pre-purchase inspection dubai","Proposed expansion",,"","Buying inspection","/brands/mclaren-service-dubai","Enquiry only","Deferred","Pre-purchase scope not confirmed","Do not create page or promise service until business confirmation"
"mclaren used car inspection dubai","Proposed expansion",,"","Buying inspection","/brands/mclaren-service-dubai","Enquiry only","Deferred","Used-vehicle inspection scope not confirmed",""
"mclaren inspection before buying","Proposed expansion",,"","Buying inspection","/brands/mclaren-service-dubai","Enquiry only","Deferred","Pre-purchase scope not confirmed",""
"mclaren maintenance after storage","Proposed expansion",,"","Ownership/maintenance","/brands/mclaren-service-dubai/oil-change","History storage and condition considerations","Already covered","Exact recommissioning scope must be confirmed","No blanket recommissioning promise"
"mclaren 570gt service dubai","Proposed model opportunity",,"","Model service","/brands/mclaren-service-dubai","Sports Series model group","Implemented on hub","Vehicle-level scope confirmation","Dedicated page deferred pending demand and proof"
"mclaren 600lt service dubai","Proposed model opportunity",,"","Model service","/brands/mclaren-service-dubai","Sports Series model group","Implemented on hub","Vehicle-level scope confirmation","Dedicated page deferred pending demand and proof"
"mclaren 650s service dubai","Proposed model opportunity",,"","Model service","/brands/mclaren-service-dubai","Super Series model group","Implemented on hub","Vehicle-level scope confirmation","Dedicated page deferred pending demand and proof"
"mclaren 675lt service dubai","Proposed model opportunity",,"","Model service","/brands/mclaren-service-dubai","Super Series model group","Implemented on hub","Vehicle-level scope confirmation","Dedicated page deferred pending demand and proof"
"mclaren 765lt service dubai","Proposed model opportunity",,"","Model service","/brands/mclaren-service-dubai","Super Series model group","Implemented on hub","Vehicle-level scope confirmation","Dedicated page deferred pending demand and proof"
"mclaren 750s service dubai","Proposed model opportunity",,"","Model service","/brands/mclaren-service-dubai","Super Series model group","Implemented on hub","Vehicle-level scope confirmation","Dedicated page deferred pending demand and proof"
"mclaren gt service dubai","Proposed model opportunity",,"","Model service","/brands/mclaren-service-dubai","GT and GTS model group","Implemented on hub","Vehicle-level scope confirmation","Dedicated page deferred pending demand and proof"
"mclaren gts service dubai","Proposed model opportunity",,"","Model service","/brands/mclaren-service-dubai","GT and GTS model group","Implemented on hub","Vehicle-level scope confirmation","Dedicated page deferred pending demand and proof"
"mclaren mp4-12c service dubai","Proposed model opportunity",,"","Earlier model service","/brands/mclaren-service-dubai","Earlier road-car model group","Implemented on hub","Age parts and accepted scope confirmed first","Dedicated page deferred pending demand and proof"
