Keyword,Source,Impressions,Average position,Intent,Proposed owner URL,Section,Capability evidence,Action/reason
"rolls royce suspension repair","GSC workbook Queries",4,6.75,"Suspension repair","/brands/rolls-royce-service-dubai/suspension-repair","Ride-height and suspension assessment","Existing route; system-specific scope","Implemented"
"rolls royce repair","GSC workbook Queries",4,10.50,"Broad repair","/brands/rolls-royce-service-dubai","Hero and service overview","Existing service architecture","Implemented"
"ppf spectre","GSC workbook Queries - separate ambiguous",36,46.39,"Ambiguous Spectre/paint-protection intent","Unassigned","Research backlog","No page-filtered query data or confirmed Rolls-Royce meaning","Deferred; if validated as paint-protection intent assign to relevant detailing content, not repair hub"
"Rolls-Royce specialist Dubai","Proposed",,,"Independent specialist discovery","/brands/rolls-royce-service-dubai","Independent workshop section","Independent workshop; no factory endorsement claim","Implemented naturally"
"independent Rolls-Royce service Dubai","Proposed",,,"Independent service","/brands/rolls-royce-service-dubai","Hero","Independent workshop verified","Implemented"
"Rolls-Royce garage Dubai","Proposed",,,"Local workshop discovery","/brands/rolls-royce-service-dubai","Workshop services and location","Verified Al Quoz workshop","Implemented naturally; no synonym page"
"Rolls-Royce mechanic Dubai","Proposed",,,"Workshop discovery","/brands/rolls-royce-service-dubai","Service overview","Existing workshop service scope","Covered semantically; exact phrase not forced"
"Rolls-Royce repair shop Dubai","Proposed",,,"Workshop discovery","/brands/rolls-royce-service-dubai","Service overview","Verified workshop and existing repair routes","Implemented naturally"
"Rolls-Royce service centre Dubai","Proposed",,,"Workshop discovery","/brands/rolls-royce-service-dubai","Independent workshop positioning","No authorised-centre claim","Implemented naturally"
"Rolls-Royce servicing Al Quoz","Proposed",,,"Local maintenance","/brands/rolls-royce-service-dubai","Location section","Verified Al Quoz Industrial Area 3","Implemented"
"Rolls-Royce repair Al Quoz","Proposed",,,"Local repair","/brands/rolls-royce-service-dubai","Location section","Verified Al Quoz Industrial Area 3","Implemented"
"Rolls-Royce oil change Dubai","Proposed",,,"Oil service","/brands/rolls-royce-service-dubai/oil-change","Oil and maintenance page","Existing route; combustion model/specification confirmed","Implemented"
"Rolls-Royce oil and filter service Dubai","Proposed",,,"Oil service","/brands/rolls-royce-service-dubai/oil-change","Service scope","Vehicle-specific oil and filter selection","Implemented"
"Rolls-Royce scheduled maintenance Dubai","Proposed",,,"Scheduled maintenance","/brands/rolls-royce-service-dubai/oil-change","Maintenance planning","Model-year schedule and history reviewed","Implemented"
"Rolls-Royce annual service Dubai","Proposed",,,"Maintenance timing","/brands/rolls-royce-service-dubai/oil-change","FAQ","No universal annual interval claimed","Covered with model-specific qualification"
"Rolls-Royce major service Dubai","Proposed",,,"Major maintenance","/brands/rolls-royce-service-dubai/oil-change","Maintenance planning","Due items confirmed rather than fixed package","Covered semantically; no invented package"
"Rolls-Royce service cost Dubai","Proposed",,,"Price/estimate","/brands/rolls-royce-service-dubai","Cost and quotation section","Estimate factors are verified inputs","Implemented without invented prices"
"Rolls-Royce maintenance cost Dubai","Proposed",,,"Maintenance price","/brands/rolls-royce-service-dubai/oil-change","Cost FAQ","Estimate follows due scope and vehicle","Implemented without invented prices"
"Rolls-Royce oil change cost Dubai","Proposed",,,"Oil service price","/brands/rolls-royce-service-dubai/oil-change","Cost FAQ","Oil quantity/specification and due items determine estimate","Implemented without invented prices"
"Rolls-Royce diagnostics Dubai","Proposed",,,"Diagnostics","/brands/rolls-royce-service-dubai/engine-diagnostics","Diagnostic assessment","Compatible access and physical testing confirmed","Implemented"
"Rolls-Royce engine diagnostics Dubai","Proposed",,,"Engine diagnostics","/brands/rolls-royce-service-dubai/engine-diagnostics","Title H1 and hero","Existing diagnostic route","Implemented"
"Rolls-Royce check engine light diagnosis","Proposed",,,"Warning-light diagnosis","/brands/rolls-royce-service-dubai/engine-diagnostics","Symptoms and FAQ","Code treated as evidence not parts diagnosis","Implemented"
"Rolls-Royce oil leak repair Dubai","Proposed",,,"Mechanical repair","/brands/rolls-royce-service-dubai/mechanical-repair","Symptoms","Inspection before repair","Implemented"
"Rolls-Royce coolant leak repair Dubai","Proposed",,,"Cooling repair","/brands/rolls-royce-service-dubai/mechanical-repair","Symptoms","Source must be diagnosed","Implemented"
"Rolls-Royce overheating diagnosis","Proposed",,,"Cooling diagnosis","/brands/rolls-royce-service-dubai/mechanical-repair","Symptoms and FAQ","Assessment scope confirmed","Implemented"
"Rolls-Royce engine misfire diagnosis","Proposed",,,"Engine diagnosis","/brands/rolls-royce-service-dubai/engine-diagnostics","Symptoms","Compatible data plus physical testing","Implemented"
"Rolls-Royce cooling system repair Dubai","Proposed",,,"Cooling repair","/brands/rolls-royce-service-dubai/mechanical-repair","Process","Supported repair follows findings","Implemented"
"Rolls-Royce gearbox repair Dubai","Proposed",,,"Gearbox repair","/brands/rolls-royce-service-dubai/transmission-repair","Title and hero","Existing route; exact unit confirmed","Implemented"
"Rolls-Royce gearbox service Dubai","Proposed",,,"Gearbox service","/brands/rolls-royce-service-dubai/transmission-repair","Service scope","Fluid/procedure matched to unit","Implemented"
"Rolls-Royce transmission diagnostics Dubai","Proposed",,,"Transmission diagnostics","/brands/rolls-royce-service-dubai/transmission-repair","Assessment process","Supported fault data and physical checks","Implemented"
"Rolls-Royce transmission fluid service Dubai","Proposed",,,"Transmission fluid","/brands/rolls-royce-service-dubai/transmission-repair","Process and FAQ","Fluid not universalised","Implemented with qualification"
"Rolls-Royce gearbox warning light","Proposed",,,"Transmission warning","/brands/rolls-royce-service-dubai/transmission-repair","Symptoms","Warning requires assessment","Implemented"
"Rolls-Royce gear shifting problems","Proposed",,,"Shift symptoms","/brands/rolls-royce-service-dubai/transmission-repair","Symptoms","No failed-component assumption","Implemented"
"Rolls-Royce air suspension repair Dubai","Proposed",,,"Air suspension repair","/brands/rolls-royce-service-dubai/suspension-repair","Title and hero","Existing route; fitted system confirmed","Implemented"
"Rolls-Royce suspension diagnostics Dubai","Proposed",,,"Suspension diagnosis","/brands/rolls-royce-service-dubai/suspension-repair","Assessment process","Compatible functions confirmed","Implemented"
"Rolls-Royce air suspension compressor replacement","Proposed",,,"Component replacement","/brands/rolls-royce-service-dubai/suspension-repair","Process","Replacement only after diagnosis and parts confirmation","Implemented with qualification"
"Rolls-Royce air strut replacement Dubai","Proposed",,,"Component replacement","/brands/rolls-royce-service-dubai/suspension-repair","Process","Replacement only after system identification","Implemented with qualification"
"Rolls-Royce ride height problem","Proposed",,,"Suspension symptom","/brands/rolls-royce-service-dubai/suspension-repair","Symptoms","Cause not assumed","Implemented"
"Rolls-Royce suspension warning light","Proposed",,,"Suspension warning","/brands/rolls-royce-service-dubai/suspension-repair","Symptoms","Assessment required","Implemented"
"Rolls-Royce steering repair Dubai","Proposed",,,"Steering repair","/brands/rolls-royce-service-dubai/steering-repair","Existing service page","Existing route; vehicle-specific scope","Implemented through hub link"
"Rolls-Royce wheel alignment Dubai","Proposed",,,"Alignment","/brands/rolls-royce-service-dubai/steering-repair","Steering/alignment assessment","Capability not separately verified in brief","Deferred from strong claims; route may discuss after confirmation"
"Rolls-Royce electrical repair Dubai","Proposed",,,"Electrical repair","/brands/rolls-royce-service-dubai/electrical-repair","Title H1 and hero","Existing route; supported access confirmed","Implemented"
"Rolls-Royce battery replacement Dubai","Proposed",,,"Low-voltage battery","/brands/rolls-royce-service-dubai/battery-replacement","Title H1 and hero","Existing route; specification confirmed","Implemented"
"Rolls-Royce battery drain diagnosis","Proposed",,,"Battery diagnosis","/brands/rolls-royce-service-dubai/battery-replacement","Symptoms and FAQ","Testing before replacement","Implemented"
"Rolls-Royce not starting","Proposed",,,"No-start diagnosis","/brands/rolls-royce-service-dubai/battery-replacement","Symptoms","Low-voltage assessment; cause not assumed","Implemented"
"Rolls-Royce AC repair Dubai","Proposed",,,"AC repair","/brands/rolls-royce-service-dubai/ac-repair","Title H1 and hero","Existing route; refrigerant/equipment confirmed","Implemented"
"Rolls-Royce air conditioning service Dubai","Proposed",,,"AC service","/brands/rolls-royce-service-dubai/ac-repair","Service scope","Vehicle label and system checked","Implemented"
"Rolls-Royce AC not cooling","Proposed",,,"AC symptom","/brands/rolls-royce-service-dubai/ac-repair","Symptoms","Testing before refrigerant/parts","Implemented"
"Rolls-Royce rear AC repair Dubai","Proposed",,,"Rear climate concern","/brands/rolls-royce-service-dubai/ac-repair","FAQ","Zone layout and access confirmed per vehicle","Implemented with qualification"
"Rolls-Royce brake repair Dubai","Proposed",,,"Brake repair","/brands/rolls-royce-service-dubai/brake-repair","Hub service summary and existing page","Existing route; hardware measured first","Implemented through hub link"
"Rolls-Royce brake service Dubai","Proposed",,,"Brake service","/brands/rolls-royce-service-dubai/brake-repair","Existing page","Existing service route","Implemented through hub link"
"Rolls-Royce brake pad replacement Dubai","Proposed",,,"Brake component replacement","/brands/rolls-royce-service-dubai/brake-repair","Existing page","Replacement follows measurement","Implemented with qualification"
"Rolls-Royce brake disc replacement Dubai","Proposed",,,"Brake component replacement","/brands/rolls-royce-service-dubai/brake-repair","Existing page","Replacement follows measurement","Implemented with qualification"
"Rolls-Royce brake fluid change Dubai","Proposed",,,"Brake fluid","/brands/rolls-royce-service-dubai/brake-repair","Existing page","Vehicle specification required","Implemented through existing page"
"Rolls-Royce tyre replacement Dubai","Proposed",,,"Tyres","/brands/rolls-royce-service-dubai/tire-repair","Existing service page","Existing route; tyre specification confirmed","Implemented through hub link"
"Rolls-Royce inspection Dubai","Proposed",,,"Condition assessment","/brands/rolls-royce-service-dubai","Assessment process","Vehicle-specific first assessment","Implemented"
"Rolls-Royce pre-purchase inspection Dubai","Proposed",,,"Pre-purchase inspection","Unassigned","Capability backlog","Service capability not verified","Deferred; do not advertise"
"Rolls-Royce PPI Dubai","Proposed",,,"Pre-purchase inspection","Unassigned","Capability backlog","Service capability not verified","Deferred; do not create synonym page"
"Rolls-Royce repair estimate Dubai","Proposed",,,"Repair estimate","/brands/rolls-royce-service-dubai","Quotation section","Estimate after appropriate assessment","Implemented"
"Rolls-Royce service quote Dubai","Proposed",,,"Service quote","/brands/rolls-royce-service-dubai","CTA and quotation section","Working WhatsApp/call enquiry path","Implemented"
"book Rolls-Royce service Dubai","Proposed",,,"Booking","/brands/rolls-royce-service-dubai","Booking CTA and form","Existing contact workflow opens WhatsApp draft","Implemented; not counted as confirmed booking"
"Cullinan service and repair Dubai","Proposed model topic",,,"Model service","/brands/rolls-royce-service-dubai","Cullinan model section","No distinct GSC model query in extract","Implemented as hub section; no thin model page"
"Ghost service and repair Dubai","Proposed model topic",,,"Model service/education","/blog/rolls-royce-ghost-service-dubai-guide","Ghost guide and hub model section","Existing guide preserved and corrected","Implemented"
"Phantom service and diagnostics Dubai","Proposed model topic",,,"Model service","/brands/rolls-royce-service-dubai","Phantom model section","No distinct GSC model query in extract","Implemented as hub section; no thin model page"
"Wraith service Dubai","Proposed model topic",,,"Model service","/brands/rolls-royce-service-dubai","Wraith and Dawn model section","No distinct GSC model query in extract","Implemented as hub section"
"Dawn service Dubai","Proposed model topic",,,"Model service","/brands/rolls-royce-service-dubai","Wraith and Dawn model section","Roof capability not verified","Implemented for general enquiries; roof work excluded"
"Black Badge service Dubai","Proposed model topic",,,"Variant service","/brands/rolls-royce-service-dubai","Cullinan model section","Variant-specific capability not separately verified","Covered cautiously; no separate page"
"Spectre service Dubai","Proposed model topic",,,"Electric vehicle service","/brands/rolls-royce-service-dubai","Spectre model section","Only general/low-voltage enquiry scope; HV capability unverified","Limited coverage; high-voltage work excluded"
