"Keyword","Source","Source cells","Impressions","Average position","Intent","Proposed owner URL","Content section","Capability evidence","Action","Reason"
"aston martin specialist","GSC","Queries!A617:E617","8","16.88","Broad local service","/brands/aston-martin-service-dubai","Hub overview and FAQ","Existing service enquiry; specialist functions unverified","implement","Proposed ownership; query and page aggregates are separate"
"aston martin service c","GSC","Queries!A705:E705","7","38.86","Broad local service","/brands/aston-martin-service-dubai","Hub overview and FAQ","Existing service enquiry; specialist functions unverified","defer","Incomplete ambiguous query"
"aston martin body shop","GSC","Queries!A776:E776","6","29.67","Specific repair","/brands/aston-martin-service-dubai/body-repair","Service assessment","Existing service enquiry; specialist functions unverified","implement","Proposed ownership; query and page aggregates are separate"
"aston martin service centre","GSC","Queries!A816:E816","5","6","Broad local service","/brands/aston-martin-service-dubai","Hub overview and FAQ","Existing service enquiry; specialist functions unverified","implement","Proposed ownership; query and page aggregates are separate"
"aston martin service near me","GSC","Queries!A969:E969","4","8.5","Broad local service","/brands/aston-martin-service-dubai","Hub overview and FAQ","Existing service enquiry; specialist functions unverified","support","Accurate Al Quoz location and directions"
"Aston Martin oil change Dubai","Proposed","","","","Commercial","/brands/aston-martin-service-dubai/oil-change","oil-change","Existing enquiry scope; exact capability to confirm","support","Not measured demand"
"Aston Martin coolant leak repair Dubai","Proposed","","","","Commercial","/brands/aston-martin-service-dubai/mechanical-repair","mechanical-repair","Existing enquiry scope; exact capability to confirm","support","Not measured demand"
"Aston Martin diagnostics Dubai","Proposed","","","","Commercial","/brands/aston-martin-service-dubai/engine-diagnostics","engine-diagnostics","Existing enquiry scope; exact capability to confirm","support","Not measured demand"
"Aston Martin battery drain diagnosis","Proposed","","","","Commercial","/brands/aston-martin-service-dubai/battery-replacement","battery-replacement","Existing enquiry scope; exact capability to confirm","support","Not measured demand"
"Aston Martin AC not cooling Dubai","Proposed","","","","Commercial","/brands/aston-martin-service-dubai/ac-repair","ac-repair","Existing enquiry scope; exact capability to confirm","support","Not measured demand"
"Aston Martin DBX air suspension repair Dubai","Proposed","","","","Commercial","/brands/aston-martin-service-dubai/suspension-repair","suspension-repair","Existing enquiry scope; exact capability to confirm","support","Not measured demand"
"Aston Martin service cost Dubai","Proposed","","","","Commercial","/brands/aston-martin-service-dubai","Cost section","Existing enquiry scope; exact capability to confirm","support","Not measured demand"
"Aston Martin PPI Dubai","Proposed","","","","Commercial","/brands/aston-martin-service-dubai","Cost section","Existing enquiry scope; exact capability to confirm","defer","Not measured demand"
"Aston Martin Sportshift diagnosis Dubai","Proposed","","","","Commercial","/brands/aston-martin-service-dubai/transmission-repair","transmission-repair","Existing enquiry scope; exact capability to confirm","support","Not measured demand"
"Aston Martin structural accident repair Dubai","Proposed","","","","Commercial","/brands/aston-martin-service-dubai/body-repair","body-repair","Existing enquiry scope; exact capability to confirm","defer","Not measured demand"
